AgriPulse_India_2000_2026,,,,,,,,,,
,,,,,,,,,,
ID,State_Region,YEAR,CROP-TYPE,SOIL_TYPE,SOIL_PH,FERTILIZER(KG/HA),PESTICIDE(KG/HA),AVG_YIELD,TEMP,RAIN
100,Chhattisgarh,2018,Rice,Red_Yellow_Soil,6.2,145,1.7,48.5,27.3,1140
101,Punjab,2019,Wheat,Alluvial_Soil,7.2,188,2.5,63.8,23.4,1280
102,Haryana,2020,Rice,Alluvial_Soil,7.1,172,2.1,52.2,25.8,940
103,UP,2021,Sugarcane,Alluvial_Loam,6.8,240,3.6,895,21.2,1550
104,Maharashtra,2022,Cotton,Black_Regur,7.8,120,1.7,25.5,29.1,620
105,Gujarat,2023,Groundnut,Sandy_Loam,7.4,105,0.9,29.2,18.7,1080
106,Karnataka,2024,Maize,Red_Loam,6.4,145,1.6,46.5,31.5,450
107,AP,2025,Rice,Coastal_Alluvial,6.6,170,2.2,42.8,24.6,1130
108,TN,2026,Coconut,Coastal_Sandy,6.7,88,0.7,168,27.9,780
109,Kerala,2000,Rubber,Laterite_Soil,5.1,78,0.5,25.2,22.4,1410
110,MP,2001,Soybean,Medium_Black,7.5,130,1.2,22.5,20.1,1650
111,Rajasthan,2002,Wheat,Sandy_Loam,7.9,95,0.9,34.5,30.3,520
112,Bihar,2003,Maize,Alluvial_Loam,7.1,140,1.5,54.8,26.1,870
113,Assam,2004,Jute,Alluvial_Clay,5.8,85,1.1,30.5,24.9,1210
114,HP,2005,Apple,Mountain_Soil,6,160,2.9,155,17.5,1040
115,Odisha,2006,Rice,Red_Yellow,6.3,125,1.6,38.8,32.4,390
116,Telangana,2007,Turmeric,Black_Soil,7.5,155,2,66.5,21.8,1580
117,Punjab,2008,Mustard,Alluvial_Soil,7.3,135,1.3,26.5,27.2,740
118,Haryana,2009,Wheat,Alluvial_Soil,7.2,198,2.7,61.5,25.5,1190
119,UP,2010,Potato,Alluvial_Loam,6.9,230,3.4,310,19.4,960
120,Maharashtra,2011,Jowar,Regur_Soil,7.7,75,0.6,19.2,28.9,610
121,Karnataka,2012,Tobacco,Red_Loamy,6.5,148,1.6,22.5,24.1,1340
122,WB,2013,Tea,Acidic_Alluvial,5.3,168,2.2,33.5,26.7,820
123,AP,2014,Chillies,Black_Soil,7.6,138,1.5,26.5,23.3,1460
124,Kerala,2015,Pepper,Red_Loam,5.5,65,0.4,11.8,18.2,990
125,Bihar,2016,Gram,Alluvial_Soil,7.1,98,1,19.5,31.1,470
126,Assam,2017,Rubber,Forest_Soil,5.4,88,0.8,18.2,25.4,1150
127,HP,2018,Potato,Mountain_Soil,5.9,165,2.6,258,28.6,730
128,J_K,2019,Saffron,Karewa_Soil,7.8,48,0.2,0.13,21.5,1520
129,Odisha,2020,Sugarcane,Coastal_Alluvial,6.8,188,3,795,26.9,890
130,Telangana,2021,Soybean,Black_Soil,7.4,120,1.4,19.2,24.3,1240
131,Chhattisgarh,2022,Pulses,Red_Yellow_Soil,6.1,95,0.9,15.2,18,1110
132,Jharkhand,2023,Potato,Red_Loamy,6.4,145,1.6,220,32.8,360
133,Punjab,2024,Rice,Alluvial_Soil,7.2,210,2.9,56.5,22.7,1490
134,Haryana,2025,Mustard,Sandy_Loam,7.6,145,1.7,29.5,27.5,800
135,Rajasthan,2026,Bajra,Sandy_Desert,8.3,65,0.5,16.2,25.2,1170
136,UP,2000,Wheat,Alluvial_Soil,7.1,215,3.1,64.8,20.6,930
137,Gujarat,2001,Cotton,Black_Soil,7.8,128,1.2,27.2,29.8,650
138,Maharashtra,2002,Sugarcane,Deep_Black,7.9,240,3.5,925,24.8,1370
139,Karnataka,2003,Tobacco,Red_Loamy,6.6,158,1.9,25.5,26.3,840
140,WB,2004,Jute,New_Alluvial,6.3,108,1.2,39.2,22.1,1430
141,TN,2005,Groundnut,Coastal_Sandy,6.8,118,1.1,29.8,19.5,1010
142,Bihar,2006,Maize,Alluvial_Loam,7.1,145,1.7,57.5,30.9,490
143,Kerala,2007,Cardamom,Forest_Soil,5.2,40,0.3,5.5,25.1,1090
144,Assam,2008,Rice,Alluvial_Clay,5.7,125,1.5,40.5,28.2,670
145,HP,2009,Wheat,Alluvial_Soil,7.2,148,1.8,48.2,21.9,1560
146,AP,2010,Cotton,Black_Soil,7.6,128,1.4,26.8,26.5,880
147,Odisha,2011,Rice,Red_Yellow,6.3,135,1.6,43.8,24.7,1230
148,Telangana,2012,Turmeric,Black_Soil,7.4,170,2.3,70.5,18.8,1030
149,Punjab,2013,Wheat,Alluvial_Soil,7.3,208,3,67.5,31.4,410
150,Haryana,2014,Rice,Alluvial_Soil,7.1,198,2.6,57.2,23.6,1540
151,Rajasthan,2015,Mustard,Sandy_Arid,7.8,125,1.2,33.5,25.9,1110
152,UP,2016,Sugarcane,Alluvial_Soil,6.8,238,3.8,960,27.4,850
153,Gujarat,2017,Castor,Sandy_Loam,7.6,115,1,37.8,20.4,1440
154,Maharashtra,2018,Cotton,Black_Regur,7.9,138,1.3,28.8,29.7,570
155,Karnataka,2019,Maize,Red_Loam,6.4,155,1.9,54.2,18.1,1050
156,WB,2020,Jute,New_Alluvial,6.3,118,1.2,43.8,32.2,440
157,TN,2021,Coconut,Coastal_Sandy,6.7,108,0.9,185,24.5,1160
158,Bihar,2022,Maize,Alluvial_Loam,7.1,148,1.7,62.5,26.6,760
159,Kerala,2023,Coffee,Laterite_Soil,5.4,88,0.8,18.5,22.9,1330
160,HP,2024,Apple,Mountain_Soil,6.1,178,2.4,178,19.3,1640
161,Assam,2025,Rice,Alluvial_Clay,5.8,128,1.5,44.8,28.4,530
162,Punjab,2026,Rice,Alluvial_Soil,7.1,218,3.1,60.5,25.8,910
163,Haryana,2000,Cotton,Sandy_Loam,7.7,138,1.7,34.2,23.2,1290
164,Rajasthan,2001,Guar,Sandy_Desert,8.4,68,0.6,20.8,17.2,1070
165,UP,2002,Wheat,Alluvial_Soil,7.1,228,3.3,66.5,33.1,370
166,Gujarat,2003,Groundnut,Sandy_Loam,7.3,125,1.3,35.5,21.7,1590
167,Maharashtra,2004,Sugarcane,Deep_Black,7.9,248,4,928,27.6,710
168,MP,2005,Gram,Black_Soil,7.5,118,1.2,25.8,24.2,1180
169,WB,2006,Jute,Deltaic_Alluvial,6.3,125,1.1,37.2,20.5,950
170,AP,2007,Chillies,Black_Soil,7.5,145,1.7,28.8,30.6,580
171,Karnataka,2008,Ragi,Red_Loamy,6.2,108,1,34.2,25.1,1350
172,TN,2009,Coconut,Coastal_Sandy,6.7,115,1.2,158,28.5,790
173,Kerala,2010,Tea,Laterite_Soil,5.2,178,2.5,36.5,22.8,1470
174,Bihar,2011,Maize,Alluvial_Soil,7,128,1.6,40.8,19.6,1140
175,Assam,2012,Tea,Acidic_Alluvial,4.9,188,2.8,33.2,31.9,480
176,HP,2013,Apple,Mountain_Soil,6,182,2.6,155,24.3,1010
177,Odisha,2014,Rice,Red_Yellow,6.3,138,1.5,42.8,26.4,660
178,Chhattisgarh,2015,Soybean,Red_Soil,6.2,125,1.3,24.2,23.5,1570
179,Telangana,2016,Cotton,Black_Soil,7.6,148,1.7,26.5,21.2,890
180,Uttarakhand,2017,Basmati_Rice,Loamy_Soil,6.6,158,1.9,40.2,29.4,1220
181,Jharkhand,2018,Pulses,Red_Soil,6.3,98,0.8,17.5,25.6,980
182,Punjab,2019,Mustard,Alluvial_Soil,7.2,145,1.6,29.8,27.1,1420
183,Gujarat,2020,Castor,Sandy_Loam,7.5,128,1.4,35.2,18.3,750
184,Haryana,2021,Wheat,Alluvial_Soil,7.3,215,2.9,64.5,30.1,470
185,UP,2022,Sugarcane,Alluvial_Loam,6.9,258,4,930,24.9,1140
186,WB,2023,Rice,Clayey_Alluvial,5.9,158,2,52.5,26.2,1310
187,Maharashtra,2024,Cotton,Deep_Black,7.7,138,1.6,29.2,22.6,920
188,MP,2025,Soybean,Medium_Black,7.4,135,1.5,22.8,20.2,1530
189,Rajasthan,2026,Wheat,Sandy_Loam,7.8,115,1.2,41.2,28.7,620
190,Karnataka,2000,Maize,Red_Loamy,6.5,165,2.2,47.2,25.3,1080
191,AP,2001,Cotton,Black_Soil,7.6,145,1.7,27.5,23.8,1410
192,TN,2002,Banana,Alluvial_Loam,6.7,198,2.7,435,31.2,380
193,Kerala,2003,Pepper,Red_Loam,5.5,78,0.7,12.8,19.2,1260
194,Bihar,2004,Tobacco,Calcareous_Alluvial,7,125,1.4,31.5,27.8,870
195,Assam,2005,Rubber,Forest_Soil,5.4,98,1,22.8,24.7,1190
196,HP,2006,Potato,Mountain_Soil,5.9,178,2.6,275,22.1,960
197,J_K,2007,Saffron,Karewa_Soil,7.8,58,0.5,0.15,28.3,550
198,Odisha,2008,Groundnut,Red_Soil,6.8,125,1.6,31.8,21.6,1450
199,Telangana,2009,Turmeric,Red_Loamy,6.9,175,2.5,78,25.9,1040
200,Chhattisgarh,2010,Rice,Red_Yellow_Soil,6.3,148,1.8,50.2,23.1,1320
201,Punjab,2011,Wheat,Alluvial_Soil,7.2,192,2.6,64.2,24.1,1150
202,Haryana,2012,Rice,Alluvial_Soil,7.1,180,2.3,53.5,26.5,830
203,UP,2013,Sugarcane,Alluvial_Loam,6.8,245,3.7,905,22.8,1380
204,Maharashtra,2014,Cotton,Black_Regur,7.8,122,1.8,26.2,28.7,610
205,Gujarat,2015,Groundnut,Sandy_Loam,7.4,108,1.1,30.5,19.3,1020
206,Karnataka,2016,Maize,Red_Loam,6.4,148,1.7,47.8,31.2,480
207,AP,2017,Rice,Coastal_Alluvial,6.6,172,2.3,43.5,25.1,1220
208,TN,2018,Coconut,Coastal_Sandy,6.7,92,0.8,170,27.6,740
209,Kerala,2019,Rubber,Laterite_Soil,5.1,80,0.6,26.1,23.9,1450
210,MP,2020,Soybean,Medium_Black,7.5,132,1.3,23.2,21.4,1600
211,Rajasthan,2021,Wheat,Sandy_Loam,7.9,98,1,35.8,29.8,550
212,Bihar,2022,Maize,Alluvial_Loam,7.1,142,1.6,55.5,26.3,890
213,Assam,2023,Jute,Alluvial_Clay,5.8,88,1.2,31.2,24.8,1250
214,HP,2024,Apple,Mountain_Soil,6,165,3,158,18.7,1080
215,Odisha,2025,Rice,Red_Yellow,6.3,128,1.7,39.5,32.5,400
216,Telangana,2026,Turmeric,Black_Soil,7.5,158,2.1,68.2,22.2,1580
217,Punjab,2000,Mustard,Alluvial_Soil,7.3,138,1.4,27.5,26.9,790
218,Haryana,2001,Wheat,Alluvial_Soil,7.2,202,2.8,62.8,25.4,1140
219,UP,2002,Potato,Alluvial_Loam,6.9,235,3.5,315,20.6,920
220,Maharashtra,2003,Jowar,Regur_Soil,7.7,78,0.7,19.8,28.1,640
221,Karnataka,2004,Tobacco,Red_Loamy,6.5,152,1.7,23.5,24.2,1300
222,WB,2005,Tea,Acidic_Alluvial,5.3,172,2.3,34.2,27.4,810
223,AP,2006,Chillies,Black_Soil,7.6,142,1.6,27.2,23.5,1420
224,Kerala,2007,Pepper,Red_Loam,5.5,68,0.5,12.2,19.8,1050
225,Bihar,2008,Gram,Alluvial_Soil,7.1,102,1.1,20.2,30.5,480
226,Assam,2009,Rubber,Forest_Soil,5.4,92,0.9,19.1,25.8,1120
227,HP,2010,Potato,Mountain_Soil,5.9,170,2.7,265,28.1,700
228,J_K,2011,Saffron,Karewa_Soil,7.8,50,0.3,0.14,21.9,1500
229,Odisha,2012,Sugarcane,Coastal_Alluvial,6.8,192,3.1,802,26.5,860
230,Telangana,2013,Soybean,Black_Soil,7.4,122,1.5,20.1,24.7,1220
231,Chhattisgarh,2014,Pulses,Red_Yellow_Soil,6.1,98,1,15.8,17.9,1100
232,Jharkhand,2015,Potato,Red_Loamy,6.4,148,1.7,225,32.1,350
233,Punjab,2016,Rice,Alluvial_Soil,7.2,215,3,57.8,23.4,1480
234,Haryana,2017,Mustard,Sandy_Loam,7.6,148,1.8,30.2,27.2,790
235,Rajasthan,2018,Bajra,Sandy_Desert,8.3,68,0.6,16.8,25.6,1180
236,UP,2019,Wheat,Alluvial_Soil,7.1,220,3.2,65.5,20.3,940
237,Gujarat,2020,Cotton,Black_Soil,7.8,132,1.3,28.1,29.4,620
238,Maharashtra,2021,Sugarcane,Deep_Black,7.9,245,3.6,932,24.1,1350
239,Karnataka,2022,Tobacco,Red_Loamy,6.6,162,2,26.2,26.7,830
240,WB,2023,Jute,New_Alluvial,6.3,112,1.3,40.5,22.5,1400
241,TN,2024,Groundnut,Coastal_Sandy,6.8,122,1.2,30.5,19.1,1000
242,Bihar,2025,Maize,Alluvial_Loam,7.1,148,1.8,58.8,30.8,460
243,Kerala,2026,Cardamom,Forest_Soil,5.2,42,0.4,5.8,25.9,1080
244,Assam,2000,Rice,Alluvial_Clay,5.7,128,1.6,41.2,28.4,680
245,HP,2001,Wheat,Alluvial_Soil,7.2,152,1.9,49.5,21.2,1580
246,AP,2002,Cotton,Black_Soil,7.6,132,1.5,27.5,26.1,880
247,Odisha,2003,Rice,Red_Yellow,6.3,138,1.7,44.5,24.4,1260
248,Telangana,2004,Turmeric,Black_Soil,7.4,175,2.4,72,18.5,1020
249,Punjab,2005,Wheat,Alluvial_Soil,7.3,212,3.1,68.2,31.2,420
250,Haryana,2006,Rice,Alluvial_Soil,7.1,202,2.7,58.5,23.1,1520
251,Rajasthan,2007,Mustard,Sandy_Arid,7.8,128,1.3,34.2,25.5,1100
252,UP,2008,Sugarcane,Alluvial_Soil,6.8,242,3.9,968,27.2,840
253,Gujarat,2009,Castor,Sandy_Loam,7.6,118,1.1,38.5,20.8,1420
254,Maharashtra,2010,Cotton,Black_Regur,7.9,142,1.4,29.5,29.5,580
255,Karnataka,2011,Maize,Red_Loam,6.4,158,2,55.2,18.2,1020
256,WB,2012,Jute,New_Alluvial,6.3,122,1.3,44.5,31.8,430
257,TN,2013,Coconut,Coastal_Sandy,6.7,112,1,188,24.9,1150
258,Bihar,2014,Maize,Alluvial_Loam,7.1,152,1.8,63.8,26.4,750
259,Kerala,2015,Coffee,Laterite_Soil,5.4,92,0.9,19.2,22.7,1320
260,HP,2016,Apple,Mountain_Soil,6.1,182,2.5,182,19.9,1620
261,Assam,2017,Rice,Alluvial_Clay,5.8,132,1.6,45.5,28.6,510
262,Punjab,2018,Rice,Alluvial_Soil,7.1,222,3.2,61.8,25.1,920
263,Haryana,2019,Cotton,Sandy_Loam,7.7,142,1.8,35.5,23.6,1280
264,Rajasthan,2020,Guar,Sandy_Desert,8.4,70,0.7,21.5,17.5,1080
265,UP,2021,Wheat,Alluvial_Soil,7.1,232,3.4,67.5,32.5,380
266,Gujarat,2022,Groundnut,Sandy_Loam,7.3,128,1.4,36.2,21.4,1570
267,Maharashtra,2023,Sugarcane,Deep_Black,7.9,252,4.1,935,27.9,720
268,MP,2024,Gram,Black_Soil,7.5,122,1.3,26.5,24.8,1190
269,WB,2025,Jute,Deltaic_Alluvial,6.3,128,1.2,38.2,20.1,960
270,AP,2026,Chillies,Black_Soil,7.5,148,1.8,29.5,30.2,590
271,Karnataka,2000,Ragi,Red_Loamy,6.2,112,1.1,35.5,25.7,1340
272,TN,2001,Coconut,Coastal_Sandy,6.7,118,1.3,162,28.8,770
273,Kerala,2002,Tea,Laterite_Soil,5.2,182,2.6,37.8,22.2,1480
274,Bihar,2003,Maize,Alluvial_Soil,7,132,1.7,41.5,19.4,1150
275,Assam,2004,Tea,Acidic_Alluvial,4.9,192,2.9,34.2,31.4,490
276,HP,2005,Apple,Mountain_Soil,6,185,2.7,158,24.6,1020
277,Odisha,2006,Rice,Red_Yellow,6.3,142,1.6,43.5,26.2,650
278,Chhattisgarh,2007,Soybean,Red_Soil,6.2,128,1.4,25.2,23.8,1550
279,Telangana,2008,Cotton,Black_Soil,7.6,152,1.8,27.5,21.5,880
280,Uttarakhand,2009,Basmati_Rice,Loamy_Soil,6.6,162,2,41.5,29.9,1210
281,Jharkhand,2010,Pulses,Red_Soil,6.3,102,0.9,18.2,25.3,990
282,Punjab,2011,Mustard,Alluvial_Soil,7.2,148,1.7,30.5,27.7,1430
283,Gujarat,2012,Castor,Sandy_Loam,7.5,132,1.5,36.2,18.9,740
284,Haryana,2013,Wheat,Alluvial_Soil,7.3,218,3,65.5,30.6,460
285,UP,2014,Sugarcane,Alluvial_Loam,6.9,262,4.1,938,24.1,1120
286,WB,2015,Rice,Clayey_Alluvial,5.9,162,2.1,54.2,26.8,1300
287,Maharashtra,2016,Cotton,Deep_Black,7.7,142,1.7,30.2,22.4,910
288,MP,2017,Soybean,Medium_Black,7.4,138,1.6,23.5,20.7,1520
289,Rajasthan,2018,Wheat,Sandy_Loam,7.8,118,1.3,42.5,28.1,630
290,Karnataka,2019,Maize,Red_Loamy,6.5,168,2.3,48.5,25.9,1070
291,AP,2020,Cotton,Black_Soil,7.6,148,1.8,28.5,23.2,1400
292,TN,2021,Banana,Alluvial_Loam,6.7,202,2.8,442,31.7,390
293,Kerala,2022,Pepper,Red_Loam,5.5,82,0.8,13.5,19.6,1250
294,Bihar,2023,Tobacco,Calcareous_Alluvial,7,128,1.5,32.2,27.4,860
295,Assam,2024,Rubber,Forest_Soil,5.4,102,1.1,23.5,24.3,1180
296,HP,2025,Potato,Mountain_Soil,5.9,182,2.7,282,22.9,950
297,J_K,2026,Saffron,Karewa_Soil,7.8,62,0.6,0.16,28.5,560
298,Odisha,2000,Groundnut,Red_Soil,6.8,128,1.7,32.5,21.1,1460
299,Telangana,2001,Turmeric,Red_Loamy,6.9,178,2.6,79.5,25.6,1030
300,Chhattisgarh,2002,Rice,Red_Yellow_Soil,6.3,152,1.9,51.5,23.7,1310
301,Punjab,2003,Wheat,Alluvial_Soil,7.2,195,2.7,64.8,23.5,1320
302,Haryana,2004,Rice,Alluvial_Soil,7.1,182,2.4,54.2,25.9,1040
303,UP,2005,Sugarcane,Alluvial_Loam,6.8,248,3.8,912,21.1,1460
304,Maharashtra,2006,Cotton,Black_Regur,7.8,125,1.9,26.8,28.5,560
305,Gujarat,2007,Groundnut,Sandy_Loam,7.4,110,1.2,31.2,19.6,1250
306,Karnataka,2008,Maize,Red_Loam,6.4,150,1.8,48.5,31.7,390
307,AP,2009,Rice,Coastal_Alluvial,6.6,175,2.4,44.2,23.2,1400
308,TN,2010,Coconut,Coastal_Sandy,6.7,95,0.9,172,25.9,1070
309,Kerala,2011,Rubber,Laterite_Soil,5.1,82,0.7,26.8,28.1,630
310,MP,2012,Soybean,Medium_Black,7.5,135,1.4,23.8,20.7,1520
311,Rajasthan,2013,Wheat,Sandy_Loam,7.9,102,1.1,36.5,22.4,910
312,Bihar,2014,Maize,Alluvial_Loam,7.1,145,1.7,56.2,26.8,1300
313,Assam,2015,Jute,Alluvial_Clay,5.8,90,1.3,31.8,24.1,1120
314,HP,2016,Apple,Mountain_Soil,6,168,3.1,162,30.6,460
315,Odisha,2017,Rice,Red_Yellow,6.3,130,1.8,40.2,18.9,740
316,Telangana,2018,Turmeric,Black_Soil,7.5,160,2.2,69.5,27.7,1430
